RunN,Walls,GeV,N_files
100630,3,100,13
100631,3,100,12
100632,3,100,8
100677,3,100,23
100633,3,140,22
100673,3,140,16
100674,3,140,16
100635,3,180,17
100636,3,180,14
100671,3,180,33
100672,3,180,22
100646,3,240,13
100647,3,240,27
100648,3,240,59
100639,3,300,58
100642,3,300,5
100643,3,300,7
100645,3,300,110
100664,2,100,16
100666,2,140,16
100668,2,180,9
100669,2,180,23
100649,2,240,62
100650,2,300,62
100663,1,100,16
100662,1,140,21
100659,1,180,15
100660,1,180,14
100654,1,240,31
100656,1,240,33
100653,1,300,51
